TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  6.9734E+01 -8.4162E-01 -6.0917E-01  6.1005E+01  5.9083E+01  1.9221E+00 -6.8016E-01
  3.0000E+00  9.1344E+01  3.1425E-01  9.9339E-02  9.0976E+01  7.7122E+01  1.3854E+01  1.0115E-01
  4.0000E+00  9.7052E+01  1.7132E+00  1.4719E+00  1.2221E+02  8.1956E+01  4.0254E+01  1.6740E+00
  5.0000E+00  9.6158E+01  1.7908E+00  1.7526E+00  1.2609E+02  8.1368E+01  4.4722E+01  1.9961E+00
  6.0000E+00  8.7831E+01  8.3652E-02  2.9925E-02  8.4682E+01  7.5018E+01  9.6639E+00  2.5223E-03
  7.0000E+00  7.8142E+01 -8.1804E-01 -8.2815E-01  6.2131E+01  6.7528E+01 -5.3968E+00 -9.7692E-01
  8.0000E+00  7.0472E+01 -1.5011E+00 -1.3340E+00  4.9135E+01  6.1530E+01 -1.2395E+01 -1.5400E+00
  9.0000E+00  6.1945E+01  5.6315E-01  3.3192E-01  6.4180E+01  5.4761E+01  9.4189E+00  3.3904E-01
  1.0000E+01  5.0770E+01  1.2265E+00  9.8032E-01  5.9574E+01  4.5669E+01  1.3905E+01  1.0478E+00
  1.1000E+01  3.5635E+01  1.5548E+00  1.4074E+00  4.5297E+01  3.2766E+01  1.2531E+01  1.4827E+00
  1.2000E+01  2.2027E+01 -6.1281E-01 -6.6243E-01  1.8966E+01  2.0192E+01 -1.2256E+00 -6.6237E-01
  1.3000E+01  1.8751E+01  8.3652E-02  7.5416E-03  1.8771E+01  1.6969E+01  1.8016E+00  4.2017E-02
  1.4000E+01  1.0362E+01  2.1898E-01  2.6466E-01  1.1067E+01  8.8573E+00  2.2097E+00  3.3055E-01
  1.7000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8000E+01  9.5021E+01  1.7132E+00  1.6168E+00  1.1410E+02  6.0720E+01  5.3380E+01  2.1982E+00
  1.9000E+01  1.1406E+02  1.7908E+00  1.4793E+00  1.3835E+02  8.3351E+01  5.4999E+01  1.8444E+00
  2.0000E+01  1.1400E+02  1.0884E-01  5.3345E-02  1.0747E+02  8.7181E+01  2.0289E+01 -1.0614E-02
  2.1000E+01  1.0978E+02 -2.3263E+00 -1.7407E+00  6.5563E+01  8.7956E+01 -2.2393E+01 -2.1669E+00
  2.2000E+01  9.8760E+01  2.3613E-01  2.3694E-01  9.8927E+01  8.2423E+01  1.6504E+01  2.6684E-01
  2.3000E+01  8.8700E+01 -1.6712E-02 -1.2611E-01  8.2533E+01  7.5098E+01  7.4349E+00 -1.4043E-01
  2.4000E+01  7.9168E+01  6.4335E-01  6.6617E-01  8.6241E+01  6.7484E+01  1.8757E+01  7.7989E-01
  2.5000E+01  7.1995E+01 -5.0154E-02 -1.8380E-01  6.6140E+01  6.1562E+01  4.5778E+00 -2.0739E-01
  2.6000E+01  5.9639E+01  2.7131E+00  2.4550E+00  8.6313E+01  5.1112E+01  3.5201E+01  2.8181E+00
  2.7000E+01  4.4181E+01  5.7297E-01  4.5460E-01  4.6105E+01  3.7546E+01  8.5587E+00  4.8938E-01
  2.8000E+01  2.9741E+01  4.9585E-01  3.5241E-01  3.0343E+01  2.4124E+01  6.2189E+00  3.6181E-01
  2.9000E+01  2.6147E+01 -2.1280E+00 -1.4761E+00  1.6914E+01  2.0651E+01 -3.7371E+00 -1.8199E+00
  3.0000E+01  1.6035E+01  9.5417E-01  8.9730E-01  1.8201E+01  1.1271E+01  6.9300E+00  1.1057E+00
  3.1000E+01  1.0656E+01  7.1707E-01  6.1018E-01  1.1563E+01  6.8738E+00  4.6892E+00  8.1106E-01
  3.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4000E+01  5.2786E+01 -2.3263E+00 -2.1896E+00  3.2642E+01  6.4618E+01 -3.1976E+01 -1.7462E+00
  3.5000E+01  6.8316E+01  2.1043E-01  9.9992E-02  7.3315E+01  7.8396E+01 -5.0815E+00  6.0158E-02
  3.6000E+01  7.4917E+01  6.1281E-01  6.7546E-01  8.8325E+01  8.2571E+01  5.7541E+00  5.9110E-01
  3.7000E+01  7.8596E+01  2.1043E-01 -5.9805E-02  7.9920E+01  8.2765E+01 -2.8446E+00 -3.4829E-02
  3.8000E+01  7.6298E+01 -5.0154E-02 -1.6589E-01  7.5161E+01  7.8127E+01 -2.9659E+00 -1.2141E-01
  3.9000E+01  6.9923E+01  5.5338E-01  4.7405E-01  7.7791E+01  7.1287E+01  6.5037E+00  5.0128E-01
  4.0000E+01  6.1464E+01  1.0508E+00  9.0241E-01  7.4142E+01  6.3591E+01  1.0551E+01  9.0006E-01
  4.1000E+01  5.4415E+01  2.3613E-01  3.3107E-02  5.6671E+01  5.7496E+01 -8.2486E-01  5.7642E-02
  4.2000E+01  4.3876E+01 -3.5846E-01 -4.5727E-01  4.2067E+01  4.8398E+01 -6.3311E+00 -4.1853E-01
  4.3000E+01  2.9724E+01 -2.2164E+00 -2.2168E+00  1.8358E+01  3.5605E+01 -1.7247E+01 -1.9170E+00
  4.4000E+01  1.7175E+01 -1.4252E-01  1.0909E-02  1.8366E+01  2.2998E+01 -4.6319E+00 -1.6191E-01
  4.5000E+01  1.4179E+01 -3.5846E-01 -4.4423E-03  1.5069E+01  1.9659E+01 -4.5898E+00 -1.7246E-01
  4.9000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+01  3.1939E+01  9.5417E-01  1.4517E+00  4.2049E+01  4.1577E+01  4.7233E-01  1.0272E+00
  5.1000E+01  3.5415E+01 -4.1246E-01 -4.0994E-01  3.5571E+01  5.1151E+01 -1.5580E+01 -3.4669E-01
  5.2000E+01  3.5622E+01 -1.5274E+00 -2.1678E+00  2.4276E+01  5.4928E+01 -3.0652E+01 -1.4927E+00
  5.3000E+01  3.4644E+01 -8.3652E-02  3.1943E-02  3.9419E+01  5.5362E+01 -1.5943E+01 -1.3285E-01
  5.4000E+01  3.1945E+01 -6.6404E-01 -6.4993E-01  3.1899E+01  5.1884E+01 -1.9985E+01 -5.6308E-01
  5.5000E+01  2.9416E+01 -1.5011E+00 -1.9679E+00  2.1274E+01  4.7257E+01 -2.5983E+01 -1.3799E+00
  5.6000E+01  2.7279E+01 -1.5834E+00 -1.7820E+00  2.0547E+01  4.3156E+01 -2.2609E+01 -1.2845E+00
  5.7000E+01  2.5280E+01 -1.0655E+00 -1.3828E+00  2.0914E+01  3.9356E+01 -1.8442E+01 -1.0514E+00
  5.8000E+01  2.1467E+01 -1.5548E+00 -2.0276E+00  1.4613E+01  3.2384E+01 -1.7771E+01 -1.5207E+00
  5.9000E+01  1.6557E+01  4.0338E-01  5.2225E-01  1.9755E+01  2.4093E+01 -4.3382E+00  1.8362E-01
  6.0000E+01  1.0424E+01 -2.7932E-01 -2.4220E-01  1.0598E+01  1.5071E+01 -4.4727E+00 -2.9578E-01
  6.5000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6000E+01  2.9787E+01  1.2445E+00  1.5926E+00  3.9120E+01  3.5864E+01  3.2556E+00  1.2992E+00
  6.7000E+01  3.3503E+01 -2.5335E-01 -5.4038E-01  3.1283E+01  4.3775E+01 -1.2492E+01 -4.0131E-01
  6.8000E+01  3.4175E+01 -1.7908E+00 -2.3842E+00  2.0274E+01  4.7255E+01 -2.6981E+01 -1.7322E+00
  6.9000E+01  3.3558E+01 -3.3428E-02 -1.6025E-01  3.5498E+01  4.7873E+01 -1.2375E+01 -1.9731E-01
  7.0000E+01  3.0755E+01 -1.6781E+00 -1.9628E+00  2.1502E+01  4.4691E+01 -2.3189E+01 -1.4548E+00
  7.1000E+01  2.8549E+01 -5.8284E-01 -7.6632E-01  2.6832E+01  4.1136E+01 -1.4304E+01 -6.5106E-01
  7.2000E+01  2.6635E+01 -2.1898E-01 -2.3022E-01  2.7888E+01  3.7922E+01 -1.0034E+01 -2.8467E-01
  7.3000E+01  2.4924E+01 -3.3185E-01 -5.9093E-01  2.4229E+01  3.5063E+01 -1.0834E+01 -5.4337E-01
  7.4000E+01  2.1529E+01  2.1898E-01  1.8076E-01  2.4305E+01  2.9548E+01 -5.2431E+00  6.5295E-03
  7.5000E+01  1.6740E+01 -4.2158E-01 -6.6678E-01  1.5982E+01  2.2246E+01 -6.2645E+00 -6.2183E-01
  7.6000E+01  1.0977E+01 -4.3073E-01 -7.0389E-01  1.0436E+01  1.4398E+01 -3.9622E+00 -6.0374E-01
  8.1000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.2000E+01  7.9871E+01 -5.8521E-02 -1.5197E-02  8.3125E+01  8.5026E+01 -1.9010E+00 -2.6266E-02
  8.3000E+01  1.2023E+02 -8.6568E-01 -8.4722E-01  1.0364E+02  1.2381E+02 -2.0167E+01 -7.9635E-01
